[13:48.000 --> 14:05.300]  Great. How's everything? How's studies going on? I think the recent topic has been more
[18:47.260 --> 18:57.260]  Because as we have been saying that even though you can have any number of resources to help you explore the topics or revise the topics.
[18:57.260 --> 19:08.260]  But the most authentic document which is used by the IV for curriculum delivery guidelines and also for assessments is this subject guide.
[19:09.260 --> 19:27.260]  So going from the beginning in the second class, second class of our course, we did 1.1.1 to 1.1.5, which is described the functions and interactions of main CPU components.
[19:27.260 --> 19:31.260]  Arithmetic logical unit control unit and all that.
[19:31.260 --> 19:39.260]  And as I mentioned during the previous class that these command terms actually define the level of depth that you need to prepare yourself for.
[19:39.260 --> 19:42.260]  Like describe this assessment objective to.
[19:42.260 --> 19:52.260]  And assessment objective to says that you need to know the concept and you need to know the reason what why and how of that that is assessment objective to.
[19:52.260 --> 20:01.260]  So when you are when you are preparing for these topics from the assessments point of view, always keep in mind the sub command term, which is for these topics.
[20:01.260 --> 20:08.260]  So unless it is explained for example, this is explain you need to go for these topics into more depth.
[20:08.260 --> 20:16.260]  From the assessments point of view, so you can have questions such as discuss or explain or to what extent.
[20:17.260 --> 20:29.260]  Any question which requires you to have critical thinking skills, which may require depth of understanding that will apply to the command term explain or any command term, which is for assessment objective 3.
[20:29.260 --> 20:37.260]  Like 1.1.4 also is for assessment objective 3 and 1.1.5 describe that is assessment objective to.
[20:37.260 --> 20:47.260]  But you can decide on I mean you can get a very clear indication of how much depth of understanding is needed for each of these topics.
[20:47.260 --> 20:52.260]  So when you're when you're revising these topics, please go into little additional depth.
[20:52.260 --> 21:03.260]  As to what it is how it works and then further details as to what are the applications in what areas is it used.
[21:03.260 --> 21:12.260]  Listening for whatever you study why it happens how it happens so that you will be fully prepared for questions that may come from these topics.
[21:12.260 --> 21:15.260]  Okay, so describe the role of GPU we learned about GPU.
[21:15.260 --> 21:21.260]  Then we talked about the difference between CPU and GPU, which was just for HL course.
[21:21.260 --> 21:24.260]  Then we had explained the purpose of different types of primary memory.
[21:24.260 --> 21:28.260]  We learned about RAM ROM or cache memory and all that.
[21:28.260 --> 21:33.260]  We also learned about cache miss and cache hit.
[21:33.260 --> 21:38.260]  Does anyone remember what cache miss and cache hit means?
[21:38.260 --> 21:45.260]  This means when this CPU is able to retrieve the data from it.
[21:45.260 --> 21:48.260]  Yeah, and this is something.
[21:48.260 --> 21:50.260]  Yeah, absolutely.
[21:50.260 --> 22:02.260]  So since the command term is explained, so what you have just mentioned is actually the bare minimum description of what cache miss and cache hit is.
[22:02.260 --> 22:11.260]  But when you revise in this topic, you have to also think in terms of how does it impact the CPU's overall functionality because it is explained.
[22:11.260 --> 22:18.260]  So what you said is absolutely correct that when CPU is trying to fetch information or data from the cache memory.
[22:18.260 --> 22:21.260]  If it finds information, that is a cache hit.
[22:21.260 --> 22:30.260]  That means according to the clock speed of CPU, if it is getting the sufficient amount of data, it will be able to fetch it without any waiting period.
[22:30.260 --> 22:32.260]  That is cache cache hit.
[22:32.260 --> 22:37.260]  But if it is trying to fetch the data, but cache doesn't have anything that is called cache miss.
[22:37.260 --> 22:44.260]  And in such a scenario, the CPU will have to wait, which results in idle time CPU idle time, which will slow down the process.
[22:44.260 --> 22:55.260]  So this is what explain is, you don't just have to know what it is, but you also have to link it to further understanding as to how it impacts the overall functionality of the system.
[22:55.260 --> 23:00.260]  Then we learned about fetch decode execution cycle, which is a very important topic.
[23:00.260 --> 23:05.260]  But since it is described, so you just need to go at the middle level of understanding.
[23:05.260 --> 23:09.260]  Describe the process of pipelining. This is only for HL. We discussed it last time.
[23:09.260 --> 23:27.260]  What pipelining is and how it is significant from the CPU's point of view in terms of multiple core and how each code performs its responsibilities so that the overall processing of the CPU can be increased or enhanced internal external type of secondary memory storage.
[23:27.260 --> 23:42.260]  We talked about many different ways that data is stored. For example, SSD, HDD optical drives, flash drives, memory cards, network attached storage, NAS, the scenarios in which various types of drive drives are used.
[23:42.260 --> 23:48.260]  So again, for the assessment objective to you need to know what these storage devices are.
[23:48.260 --> 23:54.260]  What are their unique characteristics? How they are different from each other? Under what circumstances do we use them?
[23:54.260 --> 24:05.260]  For example, where do we use SSD? When do we use HDD? When do we use optical drives, flash drives? That will be enough for you to learn in terms of meeting the requirements for this topic.
[24:05.260 --> 24:10.260]  Then we discussed about concepts of compression. What compression is all about?
[24:10.260 --> 24:19.260]  Difference between lossy compression and lossless compression. And you need to be aware of run length encoding and transform coding.
[24:19.260 --> 24:25.260]  These are the two different ways of encoding. So you should have understanding of how they work.
[24:25.260 --> 24:34.260]  So you may be given an example of an image or sequence of alphabets and they may ask you how would run length encoding work.
[24:34.260 --> 24:36.260]  So you should be clear about that.
[24:36.260 --> 24:42.260]  They describe different types of services in cloud computing. This is what Martin covered last time.
[24:43.260 --> 24:49.260]  That what cloud computing is and what are the different types of services that are offered as a part of remote computing.
[24:49.260 --> 24:59.260]  For example, software as a service. A good example. Any example of software as a service, which you use.
[24:59.260 --> 25:05.260]  Google workspace. Google workspace.
[25:05.260 --> 25:11.260]  Okay.
[25:11.260 --> 25:27.260]  There's a difference between I wouldn't say that Google Drive is the best example for software as a service because software as a service is basically an application, which is running from a remote server, which gives you the flexibility to do some work.
[25:27.260 --> 25:34.260]  So I would say Google docs may still be software as a service, but Google Drive is more of a cloud storage.
[25:34.260 --> 25:41.260]  It's you are keeping your storing your personal information or personal data onto a drive that is just a cloud storage.
[25:41.260 --> 25:46.260]  It's not a software. It's just giving you some remote space for you to keep the data.
[25:46.260 --> 25:56.260]  But software as a service is an online application, which can be used remotely by many different people across the globe with the help of internet.
[25:56.260 --> 26:01.260]  Now keeping that in mind, can you tell some example of software as a service.
[26:01.260 --> 26:03.260]  Zoom.
[26:03.260 --> 26:10.260]  Yeah, zoom can be good example of software as a service. Yes. Any other example.
[26:10.260 --> 26:14.260]  Come on and this classroom service.
[26:14.260 --> 26:19.260]  Absolutely. The canvas classroom that we are using. This is a very good example of software as a service.
[26:19.260 --> 26:25.260]  So this platform is actually hosted remotely, which is on some remote server.
[26:25.260 --> 26:29.260]  And we are using it from different parts of the world. So this is a software.
[26:29.260 --> 26:33.260]  It's an application which we are using. It can be it can be canvas.
[26:33.260 --> 26:36.260]  It can be managed back if you use in your school.
[26:36.260 --> 26:39.260]  It can be total that you use in your school.
[26:39.260 --> 26:48.260]  So any application, which is stored remotely somewhere and we use it through by using the internet.
[26:48.260 --> 26:55.260]  So please use the word internet whenever there's a question about cloud. That's that's important.
[26:55.260 --> 27:05.260]  Okay, so next is platform as a service infrastructure as what is platform as a service.
[27:05.260 --> 27:13.260]  I think we had a question last time what Miss Martin had compiled a few questions or any example of platform as a service.
[27:13.260 --> 27:20.260]  It's a pre build infrastructure that the developers can use to create their own.
[27:21.260 --> 27:26.260]  So as an example, it's it's Google app engine.
[27:26.260 --> 27:31.260]  Yeah, thank you for that. I think that's the perfect definition of platform as a service.
[27:31.260 --> 27:36.260]  So it's it's kind of using the computing power remotely.
[27:36.260 --> 27:39.260]  For example,
[27:40.260 --> 27:48.260]  there's no firebase also counts as platform as a service or a service software as a service.
[27:48.260 --> 27:51.260]  So what does it do exactly?
[27:51.260 --> 27:55.260]  I think you can.
[27:55.260 --> 27:59.260]  It helps like create like apps. That's what I will see.
[27:59.260 --> 28:00.260]  Okay.
[28:00.260 --> 28:06.260]  This more of like AI software that used to make your app.
[28:07.260 --> 28:18.260]  So it will totally different see the easiest way to differentiate between software as a service and so platform as a service is that if you have written some code on your computer, for example.
[28:18.260 --> 28:26.260]  And you are your computer is sending that code to a remote server for the execution to get the results back on your computer.
[28:26.260 --> 28:28.260]  That is platform as a service.
[28:28.260 --> 28:36.260]  So you're writing the code here, but just because the compilation is not happening here because of the the amount of power that your CPU needs.
[28:36.260 --> 28:38.260]  Maybe you don't have on your laptop.
[28:38.260 --> 28:40.260]  So that mean that code will go to the remote server.
[28:40.260 --> 28:43.260]  It will get executed there and results will be brought back to your system.
[28:43.260 --> 28:46.260]  That is platform as a service.
[28:46.260 --> 28:50.260]  Where a software as a service is, which is a program which is running application, which is running.
[28:50.260 --> 28:52.260]  And you're just using that as an end user.
[28:52.260 --> 28:56.260]  That is a service that is a software as a service.
[28:56.260 --> 29:08.260]  Now, depending on the nature of software that you use, you ask yourself, are we the end users for that software or we are using that software to run our programs that computing is happening elsewhere.
[29:08.260 --> 29:12.260]  If the computing is happening elsewhere, then it is a platform as a service.
[29:12.260 --> 29:20.260]  But if you're just using it as an end user that we log into the system and we are just attending the online classes, we are submitting the assignments.
[29:20.260 --> 29:29.260]  So we are kind of using a software, which is remotely based and we are just trying to use that for the for the as an end user.
[29:29.260 --> 29:33.260]  So that is software as a service.
[29:33.260 --> 29:35.260]  There's a very thin difference between these.
[29:35.260 --> 29:48.260]  If you look at a few examples, I mean, this is where you can use AI to just say that give me the examples of software as a service platform as a service and infrastructure as a service, you will easily be able to see the difference between them through the examples.
[29:48.260 --> 29:56.260]  And then the difference between them and different scenarios where they are used.
[29:56.260 --> 30:03.260]  So as I said, just list on few examples using AI and you'll be able to see the difference between them.
[30:03.260 --> 30:07.260]  Martin, did I miss anything because you covered that topic. So just feel free.
[30:07.260 --> 30:15.260]  No, I think you did an excellent job there unless they have any other question.
[30:15.260 --> 30:30.260]  Okay, so we'll move on and maybe last couple of because one thing more I wanted to check with you because we have a few participants for whom the time now should be about 12 midnight, especially in the Japan reason and all that.
[30:30.260 --> 30:50.260]  So I wanted to also check with you and Martin to you also that what if we prepone our time by one or will it be fine with you like for example instead of one PM GMT what if we do it at 12 noon GMT will that work for everyone.
[30:50.260 --> 30:56.260]  Martin, I know it will be too early for you, but I can make that work don't have an issue.
[30:56.260 --> 31:03.260]  Because I felt bad that some students who are in towards the midnight and for them the lesson ends at 1 a.m.
[31:03.260 --> 31:10.260]  That's that's not something that we really want anybody to you know to have.
[31:10.260 --> 31:19.260]  So what's the earliest time right now for anyone could you put in the chat like is there anybody who is between 5 a.m. and 7 a.m.
[31:19.260 --> 31:26.260]  Could you just put in the chat time zone is right if your time right now is between 5 to 7 a.m.
[31:26.260 --> 31:29.260]  Do we have anyone.
[31:29.260 --> 31:33.260]  Anyone between 7 to 9 a.m.
[31:33.260 --> 31:39.260]  Is your time between 7 to 9 a.m. anyone right now.
[31:39.260 --> 31:46.260]  Okay, anyone between 9 to 11 a.m.
[31:46.260 --> 31:50.260]  5 a.m. oh wow that's a lot.
[31:50.260 --> 31:52.260]  We have 5 a.m.
[31:52.260 --> 32:03.260]  Yeah, I think if I'm reading correctly, you you you you you I don't think she's saying that I've been here since 5 5 a.m.
[32:03.260 --> 32:07.260]  5 p.m. 5 p.m. 5 p.m. 5 p.m.
[32:07.260 --> 32:17.260]  So I think we don't have anyone from 5 to 7 right 9 to 11.
[32:17.260 --> 32:28.260]  How many do we have could you put on your names if you're between 9 to 11 right now.
[32:28.260 --> 32:32.260]  8 a.m. 10 a.m. Okay, it will be good if you all can write down your names.
[32:32.260 --> 32:39.260]  Sorry, your time current time in the chat so that we can just quickly scroll through that and see what time it is for you.
[32:39.260 --> 32:43.260]  Because we really want to help everyone to have a convenient time.
[32:43.260 --> 32:51.260]  So if we push by one or before that will help a few participants 10 a.m. 5 p.m.
[32:51.260 --> 32:52.260]  Right.
[32:52.260 --> 32:53.260]  3 p.m.
[32:53.260 --> 32:55.260]  3 p.m. 5 p.m.
[32:55.260 --> 32:59.260]  117 p.m. 3 p.m. 18 p.m. 4.
[32:59.260 --> 33:06.260]  So I think it's quite manageable that we can you know actually schedule the class at 12 noon.
[33:06.260 --> 33:11.260]  Can you say yes or no in the chat if we schedule it for 12 noon.
[33:11.260 --> 33:17.260]  Will it still be fine? I mean see we have to accommodate at times keeping in mind that it should be comfortable for all.
[33:17.260 --> 33:22.260]  So unless you have some other engagement during that time, I think it should be manageable.
[33:22.260 --> 33:26.260]  So I think most of you are saying yes. Yeah, perfect.
[33:26.260 --> 33:33.260]  Because you know that is what is needed from us as empathy for all those who are making an effort to attend the class.
[33:33.260 --> 33:38.260]  But it's too late for them. I mean imagine somebody is getting free from this class at 1 a.m.
[33:38.260 --> 33:41.260]  So it's almost all night gone.
[33:41.260 --> 33:50.260]  Sure, so we will have the next class scheduled at 12 noon so that it will be a little bit of relief for our students from Japan.
[33:50.260 --> 33:53.260]  All right, so let's move on. Thank you for that accommodation guys.
[33:53.260 --> 34:02.260]  This is really excellent. I mean, this shows your I be learned a profile of being caring and we really appreciate that.
[34:02.260 --> 34:12.260]  So today we are going to focus on a 1.2 and we are going to cover 1.2.1 1.2.2 and 1.2.3, which is about number system.
[34:12.260 --> 34:21.260]  So so far we have learned in a 1.1.1 to 1.1.9 as to how different parts of the computer work together in order to process data.
[34:21.260 --> 34:33.260]  That is the whole objective of a 1.1. Now 1.2 is little more technical in terms of how this data is processed by the computer system, especially the CPU.
[34:33.260 --> 34:39.260]  Right, because we all know that computer cannot understand any language other than 1 language.
[34:39.260 --> 34:46.260]  What is that language which computer understands binary binary.
[34:46.260 --> 34:59.260]  So the so the language that we use in our day to day life that is English language or your regional language that you speak in your area, but computer can not understand any of that language.
[34:59.260 --> 35:11.260]  So which means we need to have some systems in place which could help us to actually convert the information in a in a in a format which computers can understand.
[35:11.260 --> 35:18.260]  And that is what we are going to cover as a part of a 2 a 2. Okay.
[35:18.260 --> 35:24.260]  Um, where is my camera gone?
[35:24.260 --> 35:42.260]  One second.
[35:42.260 --> 36:01.260]  Okay, I can say it now. Okay. So so today we are going to cover together a 2.1.1 to a 2.1.3, which is actually all about how the computer system understands the binary number system in the form of bits and bytes.
[36:01.260 --> 36:14.260]  Okay, so I have prepared a document which I have put in the content folder. So for all those who still don't have the access to the content folder may write to us, I can just show you once again where all the information is.
[36:14.260 --> 36:21.260]  So for you, you don't have to go through all this because this is for me and Martin, but I can show you the folder where we have all these resources.
[36:21.260 --> 36:25.260]  So we have them here in the.
[36:25.260 --> 36:30.260]  What you will be able to see is this folder M 2027.
[36:30.260 --> 36:39.260]  Okay, say yes in the chat or no in the chat if you have access to this, if you have access, say yes, otherwise say no.
[36:39.260 --> 36:46.260]  And Martin, you can just take down the names for those who are saying no, who don't have this access so that we'll send it to them again.
[36:46.260 --> 36:56.260]  So when we go into this folder, especially the SL students, we know that SL students are kind of little bit struggling with the forms and these folder.
[36:56.260 --> 36:59.260]  So we really want to help each one of you.
[36:59.260 --> 37:04.260]  So if you don't already have the access to this folder, please let us know and we'll share that with you once again.
[37:04.260 --> 37:11.260]  Now here you can see that in this folder M 2027, which is shared with you, all of you we have shared already, but we can share again.
[37:11.260 --> 37:13.260]  We have these three video files.
[37:13.260 --> 37:16.260]  The first one is meet your teacher.
[37:16.260 --> 37:24.260]  The second one is our I think one file is missing, which is week two week three no sorry it's correct.
[37:24.260 --> 37:26.260]  So we currently we are in a week forward.
[37:26.260 --> 37:28.260]  So this week's recording will again go.
[37:28.260 --> 37:38.260]  So we have week two recording where we covered a 1.1 to 1.1.5 and we have a week three recording, which is 1.1.5 to 1.1.9.
[37:38.260 --> 37:45.260]  And this could be very beneficial for those who were not able to attend the class for any reason.
[37:45.260 --> 37:52.260]  Although we we strongly recommend that you should attend life so that you can ask questions.
[37:52.260 --> 37:57.260]  And we know that you are showing good engagement because we wouldn't know whether you have seen the recording or not.
[37:57.260 --> 38:01.260]  The only way we can estimate your engagement is when you attend the online classes.
[38:01.260 --> 38:05.260]  So we strongly recommend that keep some time reserved for these classes.
[38:05.260 --> 38:10.260]  So these are the two recordings which are already available and today's recording I'll put it tomorrow.
[38:10.260 --> 38:14.260]  So this is one thing which that you can see here and second is in the content folder.
[38:14.260 --> 38:18.260]  You will have weak wise content that we are preparing for these online classes.
[38:18.260 --> 38:23.260]  So this is in addition to what you already have on the Pamoja platform.
[38:23.260 --> 38:27.260]  So week after week we will just compile the information.
[38:27.260 --> 38:31.260]  Obviously we are taking some good use of for AI in order to consolidate this information.
[38:31.260 --> 38:34.260]  Otherwise it's not easy to prepare such long documents.
[38:34.260 --> 38:41.260]  But we are making sure that all the information that we put here is thoroughly checked before we release it to you.
[38:41.260 --> 38:46.260]  So week four content PDF file is already here so you can access them.
[38:46.260 --> 38:48.260]  All right.
[38:48.260 --> 38:53.260]  I hope you have put the.
[38:53.260 --> 38:58.260]  Yes and no so Mr Martin will take the.
[38:58.260 --> 39:03.260]  I'm taking and creating a document with their answer so as we perfect.
[39:03.260 --> 39:10.260]  Yeah, you can just copy this whole thing and take it to Excel file so that we'll know.
[39:10.260 --> 39:19.260]  Missile actually you don't really require a Microsoft account in order to access that folder.
[39:19.260 --> 39:27.260]  Can we do a live testing quickly if they can miss a can you type your your email ID there in the chat.
[39:27.260 --> 39:32.260]  I will try and share it with you right away and see if you can access it.
[39:32.260 --> 39:38.260]  One of you just for the testing purpose if you could put your.
[39:38.260 --> 39:43.260]  Email ID here I will will have a quick check if you need a Microsoft account or not.
[39:43.260 --> 39:45.260]  Okay, Mr. Thanks.
[39:45.260 --> 39:52.260]  No need for anybody else to share the email ID because we just want to try it with someone.
[39:52.260 --> 39:57.260]  So if I go to will that.
[39:57.260 --> 40:05.260]  If I go to this folder and I share it with Misha.
[40:05.260 --> 40:09.260]  So I'm sharing it with Misha.
[40:09.260 --> 40:14.260]  I don't think you need a Microsoft account to access this but will still try so.
[40:14.260 --> 40:18.260]  I've added Misha's name outside organization.
[40:18.260 --> 40:25.260]  Okay, that's fine. Continue and then I copy the link.
[40:25.260 --> 40:31.260]  And I will send it so you will receive an email.
[40:31.260 --> 40:38.260]  But along with that I will also share with you this link which I have just created to see if you can access that.
[40:38.260 --> 40:41.260]  So let me.
[40:41.260 --> 40:45.260]  Share that link with you in the chat.
[40:45.260 --> 40:48.260]  Misha you can look at the email later.
[40:48.260 --> 40:52.260]  Can you try others may not try this because it will lock her account.
[40:52.260 --> 40:59.260]  Only Misha can you click on this link and see if you are able to access that folder.
[40:59.260 --> 41:07.260]  No you may have received Misha but I want you to try this link to see if you can access the folder.
[41:07.260 --> 41:11.260]  Okay Benjamin I'll give it to you as well although we will send it to everybody who have said no.
[41:11.260 --> 41:20.260]  Right now what I'm trying to test is that do you actually need a Microsoft account to access this or you can access it without Microsoft account.
[41:20.260 --> 41:24.260]  So okay Benjamin I'm sending it to you.
[41:24.260 --> 41:28.260]  So I share with.
[41:28.260 --> 41:33.260]  Benjamin.
[41:33.260 --> 41:39.260]  Sorry not Benjamin it's.
[41:39.260 --> 41:42.260]  New copy the link send.
[41:42.260 --> 41:51.260]  So you will get a mail and also I'm sharing with you the direct link which you should be sorry.
[41:51.260 --> 41:54.260]  I need to do it again.
[41:54.260 --> 41:58.260]  So I copy it here.
[41:58.260 --> 42:01.260]  Copy the link.
[42:01.260 --> 42:03.260]  Send.
[42:03.260 --> 42:09.260]  I want you to try using this link which I have copied in the chat to see if you can access.
[42:09.260 --> 42:17.260]  Misha did you try going to the folder using the link I shared.
[42:17.260 --> 42:24.260]  And Benjamin can you try this.
[42:24.260 --> 42:34.260]  Benjamin just click on the link which I have just shared in the chat.
[42:34.260 --> 42:41.260]  Yes but the code I keep getting do not work okay.
[42:41.260 --> 42:49.260]  What is the what is the error Misha you're getting.
[42:49.260 --> 43:01.260]  Benjamin have you tried we really want to sort out this issue so that you know everybody gets access to the folder.
[43:01.260 --> 43:13.260]  Yeah I know Benjamin you got it but could you please let me know if you're able to access the folder.
[43:13.260 --> 43:22.260]  Misha if I ask you to share your screen and show what exact because we want to identify the code issue so that we can help all others.
[43:22.260 --> 43:26.260]  Benjamin can you come.
[43:26.260 --> 43:39.260]  Okay you can access did you have to put any code Benjamin can you unmute yourself Benjamin.
[43:39.260 --> 43:45.260]  Benjamin can you unmute yourself and tell us how did you access the folder.
[43:45.260 --> 43:49.260]  I received code in the email okay.
[43:49.260 --> 43:57.260]  Misha can you share your screen once.
[43:57.260 --> 44:11.260]  Yeah that's fine Benjamin Misha can you share your screen once.
[44:11.260 --> 44:18.260]  All right Misha you can try it home but I really wanted to see that what the issue exactly is.
[44:18.260 --> 44:35.260]  Would anyone else like to volunteer who is not able to access or that will share it with you and you can share the screen with us to see what issue you face.
[44:35.260 --> 44:44.260]  All right Dmit Dmitri wait I'll just share it with you.
[44:44.260 --> 44:51.260]  Dmitri I'm sharing it with you but you will have to share your screen to show us how you do it so that it can benefit others as well.
[44:51.260 --> 44:59.260]  So let me share my screen first I will share the folder sorry guys it may take a little time but it is for the benefit of everyone because we don't want.
[44:59.260 --> 45:06.260]  We don't want others to be struggling in accessing the folder we want to have same access for everyone.
[45:06.260 --> 45:24.260]  All right so I'm sharing this folder with this email Dmitri continue copy the link and send so Dmitri you should be getting this email.
[45:24.260 --> 45:32.260]  Could you share your screen so that we can see together how you are accessing the folder.
[45:32.260 --> 45:40.260]  Let me share so that you can share it.
[45:40.260 --> 45:47.260]  Okay Misha says she gained the access now so I don't think the Microsoft account is needed to access this folder.
[45:47.260 --> 45:52.260]  Dmitri could you share your screen.
[45:52.260 --> 45:57.260]  Second let me find it.
[45:57.260 --> 46:03.260]  It's on the top right where you have the leave button in red color.
[46:03.260 --> 46:12.260]  It's just okay wait I think I have to give you the access okay I've given the access now so just near the leave button you can see a share.
[46:12.260 --> 46:21.260]  Yeah just share share your screen and guys please pay attention to how we are accessing the folder.
[46:21.260 --> 46:31.260]  Soon after this class we will share the link with everybody who have said no towards the access so that you all can configure it.
[46:31.260 --> 46:37.260]  All right so thanks for sharing your screen so let's see.
[46:37.260 --> 46:46.260]  Okay so you got an email from me when I shared the folder can you go into that email the first one.
[46:46.260 --> 46:53.260]  Okay so yeah so there's a folder can you click that open.
[46:53.260 --> 46:59.260]  So it's saying that you received a code so can you go back to your email there should be a code.
[46:59.260 --> 47:05.260]  Or is it asking something else I don't know what is it asking to insert my email.
[47:05.260 --> 47:15.260]  Okay just insert your email yeah okay.
[47:15.260 --> 47:20.260]  Yeah now the code.
[47:20.260 --> 47:26.260]  Okay so just see if you got a code yeah.
[47:26.260 --> 47:37.260]  Here it is okay so just copy this code and put it there.
[47:37.260 --> 47:42.260]  Yep it works yeah absolutely yeah so thank you you can answer now.
[47:42.260 --> 47:55.260]  So I don't think that you need a Microsoft account to access these folders because we have made it open access to everyone provided you have your code that you get from the Microsoft portal.
[47:55.260 --> 48:09.260]  So we will once again share with everyone but make sure that you configure your folder as soon as possible so that you and the email doesn't going to you know unknown part of your email account.
[48:09.260 --> 48:22.260]  So as soon as you get the Microsoft account folder access and also the code please configure it and keep this email saved some way so that whenever you have to access you can just go to that folder link and you can open.
[48:22.260 --> 48:29.260]  This code thing is required only for the first time later on you don't need that code you can just click on the folder and it will take you there.
[48:29.260 --> 48:38.260]  Okay so what this folder is concerning I was having connection issues and.
[48:38.260 --> 48:47.260]  Okay so Misha this folder is about all the resources that we cover for example the recording of the online classes like today's recording will go into this folder.
[48:47.260 --> 48:58.260]  We also have the recording for the past couple of lessons that we have had and it will also have the content in the PDF form related to all the topics that we are covering.
[48:58.260 --> 49:03.260]  So every week that content folder will be updated with the content of ongoing week.
[49:03.260 --> 49:08.260]  This is in addition to what is already there on the premature.
[49:08.260 --> 49:13.260]  Okay now let's also quickly do the attendance.
[49:13.260 --> 49:23.260]  So I'm sharing with you the link for this week's attendance.
[49:23.260 --> 49:29.260]  It's here in the chat so we have total 25 students.
[49:29.260 --> 49:47.260]  If you go to go to that link and mark your attendance.
[49:47.260 --> 50:05.260]  13 so far 14 17 19 22 I think we have three more students.
[50:05.260 --> 50:13.260]  If you don't see your name put it in the my name is not in the list and we'll add it later to the list 24.
[50:13.260 --> 50:30.260]  One more I think is anyone missing who has not entered the name.
[50:30.260 --> 50:35.260]  So you can see one against your name if you have already marked attendance.
[50:35.260 --> 50:42.260]  If it is still showing zero and if you are here then please mark it into the form.
[50:42.260 --> 50:50.260]  This is from section B HL and this is from SL.
[50:50.260 --> 50:55.260]  SL we have three students or three students saying my name is not in the list.
[50:55.260 --> 51:04.260]  Okay Martin just take down the and in fact it will be recorded so we will add it to the list 3 plus 5 6.
[51:04.260 --> 51:08.260]  So good to see that we have six students from SL that's lovely.
[51:08.260 --> 51:11.260]  And we look forward to seeing you more often going forward.
[51:11.260 --> 51:15.260]  Okay so we have done with the logistics work.
[51:15.260 --> 51:21.260]  Now let's get on to the lesson because I know it's already more than half an hour that we have spent on this.
[51:21.260 --> 51:28.260]  But this is important because we wanted to resolve your issues about folder access and other issues that you may have.
[51:28.260 --> 51:38.260]  Okay so as I said that in this lesson we are going to learn about the number systems as to how computer understands different ways or forms of numbers in the binary format.
[51:38.260 --> 51:42.260]  And how do we convert numbers from one type to another.
[51:42.260 --> 51:56.260]  So let me go to the document that we have shared in the folder.
