[05:00.000 --> 05:29.960]  How's everything, guys?
[11:16.960 --> 11:21.960]  So you may watch that and I think that self explain lottery.
[11:21.960 --> 11:23.960]  Let me show you where it is.
[11:23.960 --> 11:44.960]  So if you go into May 2027 content, there is this word document, which is a 2.1.2 to 2.1.3, which has linked to many different YouTube videos, which are really nice, which explains all different types of conversions.
[11:44.960 --> 11:53.960]  It talks about how negative numbers representation work and how we do the binary addition and binary subtraction.
[11:53.960 --> 12:13.960]  Probably we will come back to these topics when we will learn about programming so that we will not only look at how these conversions work, but also we will learn how to write the programs to get this done using Java language.
[12:13.960 --> 12:16.960]  So therefore I'm not covering this now.
[12:16.960 --> 12:22.960]  It would be great if you can go through these videos, which are very nice videos and they explain things concepts very well.
[12:22.960 --> 12:31.960]  So you can find that under contents folder in May 2025.
[12:31.960 --> 12:36.960]  So teaching and lessons online lesson recordings.
[12:36.960 --> 12:41.960]  So you have access to this folder. So when you go inside this, we have this content folder in the content folder.
[12:41.960 --> 12:50.960]  Rest all of PDF, which are the content that we have covered so far and today's content will also go here.
[12:50.960 --> 12:56.960]  I have added few more things in this week.
[12:56.960 --> 13:00.960]  I've added little more content into this week 5.
[13:00.960 --> 13:06.960]  So probably you can go through this, although we'll have a look at it today, but I have you can see here it was updated to hours ago.
[13:06.960 --> 13:13.960]  So I've added few more good examples of a Boolean simplification and there is also an assignment in that.
[13:13.960 --> 13:18.960]  So if you have time, you can just do that for your own sake. It's not to be submitted.
[13:18.960 --> 13:25.960]  Any questions about the folder where we have the documents?
[13:25.960 --> 13:29.960]  Does anyone have any issues accessing those resources?
[13:29.960 --> 13:34.960]  And mind it, this is in addition to what we already have on palm of your canvas platform.
[13:34.960 --> 13:41.960]  That is sufficient in itself, but since we are covering we are doing the webinar for all these lessons.
[13:41.960 --> 13:45.960]  So I thought it will be good if we can make a reference document so that the video aligns with that.
[13:45.960 --> 13:57.960]  So if you are watching the video later, it will be good if you can open that document because my commentary or my talk will be completely be identical towards there in the document.
[13:57.960 --> 14:01.960]  It will be easy for you to make a connection.
[14:01.960 --> 14:09.960]  One thing more, for the HL students, you don't really have to access the videos from that folder.
[14:09.960 --> 14:18.960]  You can have access to all these folders in the recording section of online classroom.
[14:18.960 --> 14:25.960]  I know that some of you know it already, but if you go to the recordings tab under the online classroom.
[14:25.960 --> 14:32.960]  This has list of all the, sorry, this is SL class.
[14:32.960 --> 14:37.960]  SL doesn't have any recordings so far because we are doing all the classes in the HL Quad.
[14:37.960 --> 14:42.960]  So let me go to the HL class.
[14:42.960 --> 14:51.960]  In HL class, when you go to the online classroom and when you click on the recording tab in the main class,
[14:51.960 --> 14:57.960]  when you go to the recording tab, here you have list of all the recordings that we have covered so far.
[14:57.960 --> 15:03.960]  And you can just click on this button, start playback and it will play for you.
[15:03.960 --> 15:08.960]  For the SL, although we are trying that, you should get access to this folder directly,
[15:08.960 --> 15:19.960]  but until that provision is brought into the platform, the best way would be to just go to this folder where you have all the recordings you can just play from there.
[15:19.960 --> 15:36.960]  So, sorry, in the recordings folder, term one, here you have week by week division of all the recordings that we have done.
[15:50.960 --> 15:59.960]  Sorry, so you can go into this folder and you have everything in order so you can access from there.
[15:59.960 --> 16:02.960]  Okay, so that's about this thing.
[16:02.960 --> 16:11.960]  The other thing that I wanted to talk to you about the upcoming term when we will officially start with the IA.
[16:11.960 --> 16:18.960]  So let me show you what IA calendar looks like.
[16:19.960 --> 16:28.960]  We will officially start the IA next week, I mean week after next and it will go all the way to February 20, 20, 27.
[16:28.960 --> 16:37.960]  So we have stage by stage incremental development of the IA.
[16:37.960 --> 16:43.960]  So you will be finishing criteria A, then you will get the feedback, then you will get criteria B and feedback.
[16:43.960 --> 16:48.960]  So on, so let me show you what the IA deadline looks like.
[16:48.960 --> 16:53.960]  So it starts on 11th of, sorry, 5th of November.
[16:53.960 --> 16:58.960]  It starts on 5th of November, so introduction to IA.
[16:58.960 --> 17:02.960]  In the very next week, you will make an IA project proposal.
[17:02.960 --> 17:07.960]  So please take this week very seriously because we will put a discussion forum for you for this week.
[17:07.960 --> 17:13.960]  When you can discuss your ideas and both me and Mr Martin will be going through your discussion post.
[17:13.960 --> 17:16.960]  You can mention what ideas you have in your mind.
[17:16.960 --> 17:21.960]  We will also add one tab where we'll mention about what kind of projects can be done in computer science IA.
[17:21.960 --> 17:26.960]  So that you will get some basic idea and then we will also share with you a few samples.
[17:26.960 --> 17:32.960]  Which are just the samples, they are not students original work, but they are samples created by the IB.
[17:32.960 --> 17:37.960]  Because so far we don't have any IAs from the students because you are the first batch.
[17:37.960 --> 17:44.960]  So we have about seven or eight IA samples, which we will put in a shared folder and share with you before this week one.
[17:44.960 --> 17:48.960]  So that you will get a chance to look into what the IA looks like.
[17:48.960 --> 17:57.960]  And in the week after next, the webinar that we will have, we will also play those IAs for you so that we can discuss them together.
[17:57.960 --> 18:06.960]  So take this week very seriously because if your foundation is strong in terms of understanding of the IA, you will face less difficulties going forward.
[18:06.960 --> 18:09.960]  If you miss this, then it's going to be difficult.
[18:09.960 --> 18:21.960]  So based on what we discuss, you will make an IA proposal, which will be seen by both me and Mr Martin and based on the potential of the idea that you have presented in your proposal.
[18:21.960 --> 18:26.960]  We will either approve it or we'll ask you to refine it further.
[18:26.960 --> 18:30.960]  That will be on 12th of November.
[18:30.960 --> 18:34.960]  The 19th of November, IA project proposal teaches feedback.
[18:34.960 --> 18:46.960]  So I've given one week time to myself and Martin to look into your IA ideas and give you the feedback as to whether it is acceptable or you need to make some changes or you have to change it altogether.
[18:46.960 --> 18:55.960]  And then next week, 26th of November, we will introduce you to IA criteria A and B.
[18:55.960 --> 19:04.960]  So these are the two criteria, which are the starting point for your project development, which is part of inquiring and analyzing.
[19:04.960 --> 19:14.960]  So if you look at the design cycle, if you look at the design cycle, we have majorly four different stages.
[19:14.960 --> 19:26.960]  You may think why I'm showing you MVP design cycle, but this is actually the universal design principle where we have four major stages inquiring and analyzing developing ideas.
[19:26.960 --> 19:30.960]  So these two contribute to A and B.
[19:30.960 --> 19:37.960]  What comes to your mind when you see inquiring and analyzing?
[19:37.960 --> 19:41.960]  What do you think this stage belongs to research?
[19:41.960 --> 19:52.960]  About the relevance of the project about a plethora of factors that may affect the design.
[19:52.960 --> 20:05.960]  When we, for instance, research the needs, the potential challenges, the all everything that can contribute to the development.
[20:05.960 --> 20:16.960]  Okay, so what you are saying software is one step ahead of it's part of inquiring and analyzing, but it's one step ahead of that.
[20:16.960 --> 20:21.960]  Can somebody tell me what is the step before what software just said?
[20:21.960 --> 20:25.960]  When you say inquiring and analyzing, it starts with a certain stage.
[20:25.960 --> 20:28.960]  What is that?
[20:28.960 --> 20:31.960]  Like trying to find a problem to address?
[20:31.960 --> 20:33.960]  Yes, absolutely.
[20:33.960 --> 20:39.960]  So your starting point is always finding a problem for which you want to develop a solution.
[20:39.960 --> 20:55.960]  Only when you know what the problem is, which you would like to solve using a computational thinking skills is that you will start looking into what possible solutions could be and what could be potential challenges, which is the next step of inquiring and analyzing.
[20:55.960 --> 21:00.960]  Okay, so the first is knowing the problem like you may see some problems surrounding you.
[21:00.960 --> 21:12.960]  That okay, my cat supervisor is struggling to maintain students records because he is currently doing it in Excel file, but it's not very organized.
[21:12.960 --> 21:18.960]  So you think that if you can develop a centralized system wherein he can make the record tracking easily.
[21:18.960 --> 21:24.960]  So that is the identification of problem area for which you are trying to develop a solution.
[21:24.960 --> 21:32.960]  And once you have identified the problem area, that is what you will make a proposal to the teachers, either me or Ms. Martin, depending on which class you are in.
[21:32.960 --> 21:43.960]  And then looking into the potential of the problem that you have identified, whether it fits into the computer science, I a framework or not.
[21:43.960 --> 21:49.960]  So we will tell you will give you the feedback as to whether you can go ahead with that idea to explore further.
[21:49.960 --> 22:01.960]  Or you need some changes or if in some cases, we may ask you to completely change the whole idea itself because it may not be relevant from computer science point of view.
[22:01.960 --> 22:13.960]  So probably we will ask you to come up with minimum to project ideas and with your preference that which one is your first priority and which is the second priority.
[22:13.960 --> 22:24.960]  And then based on your priority and based on the potential of the projects, we will let you know whether you can go ahead with the first one or second one or we ask you to come up with the third and fourth options.
[22:24.960 --> 22:36.960]  So that is what is covered in the inquiring and analyzing the potential of what the problem area is for which you want to develop a solution and within this criteria, criteria only we also look into.
[22:37.960 --> 22:50.960]  What could be the possible solutions and if you have thought about a possible solution, then what are the strengths of the solution that you have thought about and what could be the possible challenges.
[22:50.960 --> 22:59.960]  For example, if you think that I will develop a web based solution and then you have to give a justification of why you think a web based solution could be best to solve this problem.
[22:59.960 --> 23:15.960]  Or if you think that I will create a mobile app, so you have to give a justification of why a mobile app and not just that, then you have to also tell that what platform you will use and what tools you will use to develop the solution.
[23:15.960 --> 23:21.960]  For example, somebody may say that okay, I'll use PHP and my SQL for developing a web based solution.
[23:21.960 --> 23:27.960]  So you have to give a justification of why you think that is the best solution to solve your problem, right.
[23:27.960 --> 23:39.960]  We will have one exclusive session for finding a good problem and then finding a solution and then exploring why the solution is relevant and what are the possible challenges.
[23:40.960 --> 23:44.960]  That all will be covered in this inquiring and analyzing.
[23:44.960 --> 23:52.960]  In inquiring and analyzing, you will also have something called success criteria, which is also called criteria for success.
[23:52.960 --> 23:54.960]  What is that?
[23:56.960 --> 23:57.960]  What do you mean when?
[23:58.960 --> 24:05.960]  Standard of whether the project was successful or not?
[24:05.960 --> 24:17.960]  Yes, so you will define some parameters on the basis of which you will test the overall objective of your project, whether it is met or not met.
[24:17.960 --> 24:26.960]  So based on the solution that you are making, you will come up with 7 to 8 success criteria points that I will consider my product to be successful.
[24:26.960 --> 24:46.960]  If these 8 points are met, for example, one of the success criteria could be that I will create a secured, I will add security to my product so that only the authorized users can log in, right.
[24:46.960 --> 24:52.960]  So which means you are going to make a log in screen for your users to access the product.
[24:52.960 --> 25:04.960]  Now that is one success criteria that were you able to make a log in screen through which your client or you yourself will be able to access the product that is one success criteria.
[25:04.960 --> 25:14.960]  Second success criteria could be, for example, that I will give different level of accessibility to two different types of users.
[25:14.960 --> 25:18.960]  One will be admin user and one will be end user.
[25:18.960 --> 25:21.960]  So the admin user will have all rights.
[25:21.960 --> 25:24.960]  They will be able to add delete modified data.
[25:24.960 --> 25:34.960]  They will be able to create new users and the second level of accessibility will be only for the end users who will only be the end users to use the platform.
[25:34.960 --> 25:36.960]  They will not have administrative rights.
[25:36.960 --> 25:39.960]  That could be your second success criteria.
[25:39.960 --> 25:48.960]  So this way, based on the nature of your product, you will come up with minimum seven and maximum nine success criteria.
[25:48.960 --> 25:53.960]  That will also be included within criteria A, which is inquiring and analyzing.
[25:53.960 --> 26:02.960]  This particular criteria is about 500 words in all.
[26:02.960 --> 26:03.960]  500 words.
[26:03.960 --> 26:05.960]  Total word count.
[26:05.960 --> 26:13.960]  Does anyone know what is a total word count for the IA?
[26:13.960 --> 26:14.960]  Anyone?
[26:14.960 --> 26:17.960]  Any blind guess?
[26:17.960 --> 26:20.960]  15,000.
[26:20.960 --> 26:21.960]  Wow.
[26:21.960 --> 26:25.960]  You are writing four extended essays.
[26:25.960 --> 26:27.960]  It's not so big.
[26:27.960 --> 26:28.960]  Come on.
[26:28.960 --> 26:32.960]  15,000 words is a lot.
[26:32.960 --> 26:36.960]  So maybe two, three thousand to two thousand words.
[26:36.960 --> 26:37.960]  Yeah.
[26:37.960 --> 26:40.960]  Two thousand words is the upper limit for IA.
[26:40.960 --> 26:44.960]  And that's been split into five different criteria.
[26:44.960 --> 26:49.960]  Like criteria D is the longest one, which is 1,000 words.
[26:49.960 --> 26:55.960]  Criteria A is a recommendation is 500 words, which is split into two parts.
[26:55.960 --> 26:58.960]  One part is identifying the problem or about the problem.
[26:58.960 --> 27:04.960]  And the second to 50 words is finding justification of the solution.
[27:04.960 --> 27:05.960]  So what is the problem?
[27:05.960 --> 27:06.960]  Five to 50 words.
[27:06.960 --> 27:12.960]  And what's the justification of the solution that I have thought about is 250 to 50 plus
[27:12.960 --> 27:14.960]  250 makes it 500.
[27:14.960 --> 27:15.960]  Right.
[27:15.960 --> 27:18.960]  So this is what will make your criteria A.
[27:18.960 --> 27:23.960]  And in criteria A, as you can see that there is no not much knowledge of programming is needed.
[27:23.960 --> 27:26.960]  It's only that the platform that you are going to use.
[27:26.960 --> 27:28.960]  You have to give a justification.
[27:28.960 --> 27:32.960]  So you need to do little research about that if you're trying to solve this kind of problem.
[27:32.960 --> 27:35.960]  That what could be the potential tools you may use.
[27:35.960 --> 27:37.960]  And why would you like to use those tools?
[27:37.960 --> 27:45.960]  So we'll share with you some samples of criteria A, which will give you a good overview of what criteria A looks like.
[27:45.960 --> 27:49.960]  Then comes yellow color, which is developing ideas.
[27:49.960 --> 27:54.960]  What do you mean by developing ideas?
[27:54.960 --> 27:57.960]  Proposing some solutions.
[27:57.960 --> 27:58.960]  Okay.
[27:59.960 --> 28:09.960]  Coming up with solutions like in what sense in what kind of so.
[28:09.960 --> 28:15.960]  So I'm planning how to create planning how to create.
[28:15.960 --> 28:18.960]  Can you elaborate little more on that?
[28:18.960 --> 28:47.960]  So it's like setting milestones or the solution.
[28:47.960 --> 28:48.960]  Okay. One second.
[28:48.960 --> 28:50.960]  Thomas is Thomas here.
[28:50.960 --> 28:54.960]  Thomas is not there.
[28:54.960 --> 29:02.960]  Thomas is not there.
[29:02.960 --> 29:08.960]  There's one student who is struggling to join in for villas.
[29:08.960 --> 29:17.960]  I don't know.
[29:17.960 --> 29:19.960]  One second. I'll drop a message.
[29:19.960 --> 29:20.960]  Martin is here.
[29:20.960 --> 29:43.960]  Okay. Sorry.
[29:44.960 --> 29:46.960]  Yeah. So what is criteria B?
[29:46.960 --> 29:48.960]  Developing ideas? What comes to your mind?
[29:48.960 --> 29:50.960]  You said making what?
[29:50.960 --> 29:52.960]  Can you repeat? Sorry. I was somewhere else.
[29:52.960 --> 29:54.960]  Setting milestones.
[29:54.960 --> 29:56.960]  Setting milestones.
[29:56.960 --> 29:57.960]  Okay.
[29:57.960 --> 29:59.960]  Also relevance. Okay.
[29:59.960 --> 30:01.960]  Where else? Anyone else?
[30:01.960 --> 30:04.960]  When we said developing ideas?
[30:04.960 --> 30:06.960]  What comes in between inquire?
[30:06.960 --> 30:07.960]  Yeah.
[30:07.960 --> 30:13.960]  That's right.
[30:13.960 --> 30:14.960]  Yeah.
[30:14.960 --> 30:20.960]  So you have to you have to develop a prototype of the solution in the sense that.
[30:20.960 --> 30:24.960]  Any software developer does not jump to this green color creating the solution.
[30:24.960 --> 30:30.960]  First of all, they have to make a prototype in the sense that they will create all the UI designs.
[30:30.960 --> 30:34.960]  Okay. Like for example.
[30:34.960 --> 30:37.960]  What will the login screen look like?
[30:37.960 --> 30:39.960]  What will be the dashboard look like?
[30:39.960 --> 30:42.960]  So for example, let's say you're making a mobile app.
[30:42.960 --> 30:48.960]  So you will just create a UI design of each and every screen that you're going to use in your project.
[30:48.960 --> 30:51.960]  For example, this is a UI design.
[30:51.960 --> 30:54.960]  Now, this is not a real product. This is a UI design.
[30:54.960 --> 31:02.960]  So based on the product that you have chosen, you will be making a UI design for all the screens that you are going to make.
[31:02.960 --> 31:05.960]  There are some free UI design applications available.
[31:05.960 --> 31:12.960]  For example, canva is there and there are plenty of them so you can just Google free UI design tools.
[31:12.960 --> 31:20.960]  And that will give you a lot of UI designs which you may use.
[31:20.960 --> 31:23.960]  I don't know if I have any sample.
[31:23.960 --> 31:31.960]  Let me check.
[31:31.960 --> 31:37.960]  Thank you.
[32:01.960 --> 32:11.960]  Thank you.
[32:31.960 --> 32:51.960]  Okay.
[32:51.960 --> 32:53.960]  So for example.
[32:53.960 --> 32:56.960]  So if you look at criteria a planning.
[32:56.960 --> 32:59.960]  So you see here defining the problem.
[32:59.960 --> 33:03.960]  What the problem is, which is about 250 words.
[33:03.960 --> 33:09.960]  And then we have a rational for the proposed solution as to what is the proposed solution and what is a rational for that.
[33:09.960 --> 33:14.960]  For example, a browser based application that uses PHP and all that.
[33:14.960 --> 33:16.960]  So solution.
[33:16.960 --> 33:21.960]  I mean, a justification of what you're using and why you're using.
[33:21.960 --> 33:24.960]  And then we have the success criteria.
[33:24.960 --> 33:30.960]  So you can see here secure user registration application security with password retrieving using two water authentication.
[33:30.960 --> 33:35.960]  Three types of user accounts effective organization of database tables.
[33:35.960 --> 33:39.960]  Counselors dashboard, counselors ability to send a border notifications.
[33:39.960 --> 33:42.960]  So these are based on the nature of project.
[33:42.960 --> 33:45.960]  The student has come up with certain success criteria.
[33:45.960 --> 33:47.960]  This is not counted in the word count.
[33:47.960 --> 33:50.960]  The word count is only for these two sections.
[33:50.960 --> 33:55.960]  Rational and defining the problem.
[33:55.960 --> 34:02.960]  So that completes criteria a criteria B, which I was talking about has two parts.
[34:02.960 --> 34:07.960]  One is record of task, which is a calendar.
[34:07.960 --> 34:11.960]  Indicating what you are doing when.
[34:11.960 --> 34:13.960]  So starting from initial brainstorming.
[34:13.960 --> 34:17.960]  So like today's date can go into initial brainstorming because we are talking about it.
[34:17.960 --> 34:25.960]  So you will put today's date 25th of October that we did the initial brainstorming of the project ideas.
[34:25.960 --> 34:31.960]  In fact, no, not this week week after next because that is when actually you will be discussing the project ideas with us.
[34:31.960 --> 34:33.960]  So that they will go here.
[34:33.960 --> 34:36.960]  Discussion with the computer science teacher.
[34:36.960 --> 34:45.960]  Prepare first client interaction so you can see the different stages of project development are mentioned here with the estimate of how much time it will take for you to complete.
[34:45.960 --> 34:48.960]  So that is called record of task.
[34:48.960 --> 34:56.960]  Then criteria B is actually about the design wherein you will have.
[34:56.960 --> 35:05.960]  The you call it prototype or you call just the design of your product wherein you have the flow charts.
[35:05.960 --> 35:09.960]  So you will create flow charts for each and every module that you are making.
[35:09.960 --> 35:15.960]  So you can see here for each module there is a flow chart.
[35:15.960 --> 35:26.960]  This this is a time consuming criteria B and criteria D there are the two criteria where it takes maximum time.
[35:26.960 --> 35:33.960]  There are tools for making all the flow charts and everything is just about your ideas that if you have the idea in place, you can make this quite fast.
[35:33.960 --> 35:39.960]  Then the UI designs as I was talking to you about so see these are the UI designs of the product.
[35:39.960 --> 35:43.960]  Like this is the login screen where you have I am a student so there's a drop down.
[35:43.960 --> 35:52.960]  So he has mentioned here that is going to add a drop down here which will actually help to select whether you are a student or a teacher.
[35:52.960 --> 35:54.960]  Email password.
[35:54.960 --> 35:55.960]  Forget password and all that.
[35:55.960 --> 35:58.960]  So this is the UI design for login screen.
[35:58.960 --> 36:11.960]  Then the OTP page where two factor authentication because he mentioned as if you remember it was given in the success criteria that he's going to use to factor authentication to authenticate users account if they forget the password.
[36:11.960 --> 36:14.960]  So this is that page.
[36:14.960 --> 36:19.960]  So old password new password that's the password reset page.
[36:19.960 --> 36:26.960]  Then the sign up page if somebody is signing up for the first time then what it will this will it will look like this.
[36:26.960 --> 36:29.960]  Then this is the dashboard.
[36:29.960 --> 36:34.960]  This is the dashboard for the counselor when the counselor locks in.
[36:34.960 --> 36:36.960]  This is what it will look like.
[36:36.960 --> 36:45.960]  So this is the top menu home college profile university list documents log out and this is the page where they will see the calendar and notifications.
[36:45.960 --> 36:54.960]  So he generally basically developed this app for a counselors university counselor for the school to manage students applications.
[36:54.960 --> 36:59.960]  So you can see here that this UI design is just a replica of what the product is actually going to be.
[36:59.960 --> 37:04.960]  So this is actually giving you an idea as to how your project will progress.
[37:04.960 --> 37:14.960]  And the idea of criteria B and C which is both design is to give an overview of what your product will look like.
[37:14.960 --> 37:21.960]  So that even if this criteria B document is given to a developer this should be able to develop your product.
[37:21.960 --> 37:30.960]  That is the whole objective of criteria B document that if it is given to a developer this should be able to develop on the basis of what all you have mentioned here.
[37:30.960 --> 37:39.960]  So you can see here there is database design different fields what kind of parameters written type purpose and everything is given.
[37:40.960 --> 37:45.960]  For different tables that you're going to use in the back home back in table name counselor.
[37:45.960 --> 37:49.960]  So ID first name middle name last name school email personal email data birth.
[37:49.960 --> 37:56.960]  These are the fields which the student thought would be useful for the client.
[37:56.960 --> 38:03.960]  Then table name logins so to store the login records of all the people who are login to the product is here.
[38:03.960 --> 38:10.960]  Notifications so based on the nature of product you will have different tables so you will have to decide what all fields you will take.
[38:10.960 --> 38:15.960]  Now this planning is very crucial because based on this planning only you can actually develop the product.
[38:15.960 --> 38:21.960]  So you should have ultimate clarity about what all things you are going to use in your product.
[38:21.960 --> 38:30.960]  So that when you start developing the product you just have to put these ideas into practical from program implementation.
[38:31.960 --> 38:40.960]  And then there is a testing plan where you decide on each of the success criteria as to how you are going to test them whether they are working or not working.
[38:40.960 --> 38:44.960]  So this collectively makes criteria B.
[38:44.960 --> 38:54.960]  It may look little extended but then because it's mostly diagrammatic and flow charts so the content is less but there are a lot of diagrams.
[38:54.960 --> 38:57.960]  There is no word count for criteria B.
[38:57.960 --> 38:59.960]  Actually this is the old syllabus.
[38:59.960 --> 39:03.960]  In the new syllabus it contributes to criteria B and C both.
[39:03.960 --> 39:07.960]  So they have split this whole criteria B into two different criteria.
[39:07.960 --> 39:14.960]  Criteria B which is decomposition and criteria C which is the UI design etc.
[39:14.960 --> 39:21.960]  So that is the design part.
[39:22.960 --> 39:26.960]  That's developing ideas so you are developing the ideas then come the creating the solution.
[39:26.960 --> 39:37.960]  So then you will start creating a solution in the platform that you mentioned in criteria A that what tools you are going to use using that you will start creating creating the solution.
[39:37.960 --> 39:48.960]  It can be Java platform it can be PHP it can be unity game design whichever platform you want to use it can be Android studio it can be iOS development tool.
[39:48.960 --> 39:53.960]  Anything that you want to use you are comfortable with in some cases you have to learn it also.
[39:53.960 --> 40:02.960]  So whatever way you want to do it you can actually do it provided you have some knowledge about it or you are willing to learn that right.
[40:02.960 --> 40:16.960]  So if you don't know any platform then start doing a research about what platform would be easier for you to develop some solution so that you can have some initial idea so that you can start working on that.
[40:16.960 --> 40:30.960]  So when you create the solution the solution doesn't go to the IB for marking it's just the video which goes video and one more document which is here it is criteria C but in the new format it is criteria D.
[40:30.960 --> 40:41.960]  So criteria A is same B and C is now actually B is split into B and C criteria D is this one in the new format earlier it was criteria C.
[40:41.960 --> 40:48.960]  So when you have developed the product then you have to actually explain different techniques that you have used.
[40:48.960 --> 40:59.960]  For example how did you do user passwords like this student has the user passwords like he encrypted the user passwords so that nobody can understand.
[40:59.960 --> 41:16.960]  So then he is explaining here how he did that and then the code snip shot of that particular area only not the whole code is needed but that area only where his program is actually encrypting the password.
[41:16.960 --> 41:24.960]  And it's very important that you should put double slash and write the comments in your code because that also contributes to certain score.
