[12:04.000 --> 12:12.000]  After the week
[26:40.000 --> 26:45.000]  You have to study all other subjects despite how busy you're in the school.
[26:45.000 --> 26:52.000]  So just because this is online, you cannot get an excuse for this that because I have so much to do in my regular school that I cannot spend time on computer science.
[26:52.000 --> 26:59.000]  We are not going to entertain those kind of excuses because this is one of the six subjects that you're studying.
[26:59.000 --> 27:06.000]  So just like how you spend time in your school for remaining five subjects, you have to keep that much time for computer science also.
[27:06.000 --> 27:18.000]  But if you have some exceptional issues, then you have to make a request to the side base coordinator near school who will write to us mentioning that you need one or two more weeks of time to complete a work.
[27:18.000 --> 27:24.000]  Please don't request myself or Martin for an extension because students cannot request.
[27:24.000 --> 27:34.000]  It's only the SBC whom you have to give a justification and then they will get in touch with us through proper channel and that is recorded.
[27:35.000 --> 27:42.000]  So we want to make this journey comfortable for you. It's not that we are trying to scare you or you know create trouble.
[27:42.000 --> 27:46.000]  Yeah, no, no.
[27:46.000 --> 27:50.000]  Where can they submit the proposal?
[27:50.000 --> 27:59.000]  That's a very good question. So actually, I'm in touch with the canvas developers who are putting things together in the canvas platform.
[27:59.000 --> 28:05.000]  So I have already communicated to them most likely on Monday because weekends, they don't work.
[28:05.000 --> 28:28.000]  Most likely on Monday, you will have a space for uploading the work in case if it doesn't happen by Tuesday, then we will create a SharePoint folder and share that folder with you where you will put it in the PDF format.
[28:28.000 --> 28:33.000]  Okay. Okay. So in case if it doesn't happen, then we will create a folder.
[28:33.000 --> 28:37.000]  In fact, the IA work is to be submitted in the SharePoint folder.
[28:37.000 --> 28:41.000]  Each criteria when you complete, you will put the document in the SharePoint folder.
[28:41.000 --> 28:49.000]  Besides sharing it on canvas because on canvas, it goes through the turn it in check for the AI and other similarity reports.
[28:49.000 --> 28:52.000]  That also you have to be careful about.
[28:52.000 --> 29:03.000]  So that is one place where you will be submitting and then once we give a go ahead signal for any criteria or proposal and once that is finished, then you will also submit it in the SharePoint folder.
[29:03.000 --> 29:14.000]  So if the upload link is not available by next Tuesday, then we will share that folder with you where you can just put the documents.
[29:14.000 --> 29:20.000]  And for IA related task for the fairness of everybody, we will not be open to giving any extension.
[29:20.000 --> 29:22.000]  If the time is gone, it's gone.
[29:22.000 --> 29:32.000]  It's only for the unit tests or practice tests that you have or the quizzes or the discussion that we can give some relaxation, depending on recommendation from the SVC.
[29:32.000 --> 29:37.000]  But for IA, we are very clear that nobody will get any extension.
[29:37.000 --> 29:42.000]  So when there is a deadline, you have to be very mindful about that because it's for the fairness of everybody.
[29:42.000 --> 29:55.000]  Like if we are giving somebody extension, then those who submitted in times in time, it's injustice to them because they spend time in submitting according to the deadline and then you are getting extension.
[29:55.000 --> 29:57.000]  So why should they suffer?
[29:57.000 --> 30:03.000]  So for that reason, anything which is to be assessed by the IB, that we will not give any further extension.
[30:03.000 --> 30:05.000]  So if it's gone, it's gone.
[30:05.000 --> 30:11.000]  Then when you submit, you don't get any feedback that that is taken as your final submission, right?
[30:11.000 --> 30:12.000]  All right.
[30:12.000 --> 30:21.000]  So does anyone have any other question?
[30:21.000 --> 30:22.000]  Okay.
[30:22.000 --> 30:33.000]  So you can ask questions when we will talk about IA because we have a part of today's lecture when we'll talk more about this upcoming assignment and also going forward how we are going to deal with different criteria.
[30:33.000 --> 30:36.000]  So today we have a couple of things planned.
[30:36.000 --> 30:40.000]  One is section B.1.2.
[30:40.000 --> 30:42.000]  Last time we covered B1.1.1.
[30:42.000 --> 30:49.000]  So this time we are going to cover B1.1.2 to B1.1.4.
[30:49.000 --> 30:53.000]  So let me first open the subject guide.
[30:53.000 --> 31:05.000]  I always focus on the subject guide because that is the main document which actually guides us how to proceed with the coverage of curriculum.
[31:05.000 --> 31:10.000]  You may have the hatchup application or OUP book that is good as a resource.
[31:10.000 --> 31:13.000]  You have Pamoja content and we are also week by week.
[31:13.000 --> 31:15.000]  We are developing some additional content.
[31:15.000 --> 31:17.000]  So those are all additional resources.
[31:17.000 --> 31:23.000]  But the main document that we always refer to is the IB subject guide.
[31:23.000 --> 31:28.000]  So let's have a look at this before we begin with the two other sections.
[31:28.000 --> 31:29.000]  Okay.
[31:29.000 --> 31:31.000]  So I'm sharing my screen.
[31:36.000 --> 31:38.000]  So here is the subject guide.
[31:38.000 --> 31:43.000]  Let's jump to section B1.1.2.
[31:43.000 --> 31:44.000]  Okay.
[31:44.000 --> 31:47.000]  Now last time we covered.
[31:47.000 --> 31:49.000]  Martin is my screen visible.
[31:49.000 --> 31:50.000]  Yes.
[31:50.000 --> 31:51.000]  Okay.
[31:51.000 --> 32:04.000]  So last time we covered that construct a problem specification as to how do we construct a problem specification and that is all about understanding the problem because unless you understand the problem you can never make a solution for that.
[32:04.000 --> 32:11.000]  We had a short what you call it breakout room session where you may have discussed with each other.
[32:11.000 --> 32:13.000]  So let's begin with that.
[32:13.000 --> 32:20.000]  So let's have a quick reflection on last week's activity based on whichever room you were in.
[32:20.000 --> 32:22.000]  I think how many rooms did we have Martin?
[32:22.000 --> 32:25.000]  We have five rooms last time.
[32:25.000 --> 32:26.000]  Okay.
[32:26.000 --> 32:27.000]  Four rooms.
[32:27.000 --> 32:28.000]  Four rooms.
[32:28.000 --> 32:29.000]  Four rooms.
[32:29.000 --> 32:31.000]  We were about like five students per room.
[32:31.000 --> 32:32.000]  Okay.
[32:32.000 --> 32:36.000]  So let's begin with the room number five.
[32:36.000 --> 32:38.000]  Sorry for room number four.
[32:38.000 --> 32:39.000]  Anybody.
[32:39.000 --> 32:41.000]  Anyone from room number four.
[32:41.000 --> 32:46.000]  Could you just share quickly in two minutes as to what was discussed?
[32:46.000 --> 32:53.000]  What problem area that you chose and what was the outcome from your discussion?
[32:53.000 --> 32:54.000]  Group number four.
[32:54.000 --> 32:57.000]  Martin, you noted down the names, right?
[32:57.000 --> 32:58.000]  Yeah.
[32:58.000 --> 33:02.000]  I know Benjamin was in group four.
[33:02.000 --> 33:03.000]  So was.
[33:03.000 --> 33:04.000]  Okay.
[33:04.000 --> 33:05.000]  Okay.
[33:05.000 --> 33:06.000]  So.
[33:06.000 --> 33:07.000]  Benjamin.
[33:07.000 --> 33:09.000]  So Benjamin is here.
[33:09.000 --> 33:16.000]  Benjamin, could you take the lead?
[33:16.000 --> 33:17.000]  Is.
[33:17.000 --> 33:22.000]  In the meantime, I'll share the attendance sheet also with you.
[33:22.000 --> 33:23.000]  Let me see.
[33:23.000 --> 33:27.000]  Is anyone there from group four?
[33:27.000 --> 33:28.000]  Yeah.
[33:28.000 --> 33:29.000]  Mambi is here.
[33:29.000 --> 33:30.000]  Mambi.
[33:30.000 --> 33:31.000]  It can be very brief.
[33:31.000 --> 33:33.000]  I mean, we don't want you to be going.
[33:33.000 --> 33:34.000]  Yeah.
[33:34.000 --> 33:36.000]  I mean, we don't need a complete answer.
[33:36.000 --> 33:37.000]  Yeah.
[33:37.000 --> 33:40.000]  And we just want to know the interaction that you guys have.
[33:40.000 --> 33:41.000]  I'm on.
[33:41.000 --> 33:47.000]  Because I think that that's something we want to incorporate more into our lessons.
[33:47.000 --> 33:48.000]  Yeah.
[33:48.000 --> 33:53.000]  We want to give you time to discuss with each other in the breakout rooms.
[33:53.000 --> 33:56.000]  Doing like among the four of us.
[33:56.000 --> 34:01.000]  There was only another person I could talk to, I guess, because of technical problems.
[34:01.000 --> 34:02.000]  Yeah.
[34:02.000 --> 34:08.000]  And we were just trying to discuss which problem we could focus on.
[34:08.000 --> 34:11.000]  Based on what we knew about.
[34:11.000 --> 34:15.000]  So we chose, I think it was the something like.
[34:15.000 --> 34:20.000]  The writing one, I forgot the problem, but we were discussing how we could solve that.
[34:20.000 --> 34:22.000]  We just started that.
[34:22.000 --> 34:24.000]  Okay.
[34:24.000 --> 34:26.000]  Martin, what was that problem?
[34:26.000 --> 34:28.000]  Could you recall from the document?
[34:28.000 --> 34:29.000]  Yes.
[34:29.000 --> 34:35.000]  That was the, I believe that was the, you know, one second.
[34:35.000 --> 34:39.000]  Was the student often, I'm going to put it on the chat.
[34:39.000 --> 34:40.000]  Yes, sure.
[34:40.000 --> 34:41.000]  You can read it.
[34:41.000 --> 34:45.000]  Also, I mean, I have shared the chat in the chat, the attendance link.
[34:45.000 --> 34:47.000]  So if you could go there and mark your attendance.
[34:47.000 --> 34:50.000]  So we have total 23 students today.
[34:50.000 --> 34:52.000]  So if you could go.
[34:52.000 --> 34:57.000]  That's the, that was the problem that everybody was.
[34:57.000 --> 34:58.000]  Give it.
[34:58.000 --> 34:59.000]  Okay.
[34:59.000 --> 35:02.000]  Yeah.
[35:02.000 --> 35:03.000]  Right.
[35:03.000 --> 35:10.000]  So it was about a time management app where the students are able to manage multiple assignments.
[35:10.000 --> 35:13.000]  Based on the priority and other factors.
[35:13.000 --> 35:17.000]  So this was one of the problem statements.
[35:17.000 --> 35:19.000]  So please first finish the attendance.
[35:19.000 --> 35:23.000]  Maybe 30 seconds for you to go to the link of attendance and market.
[35:23.000 --> 35:28.000]  And then we will discuss briefly about this particular.
[35:28.000 --> 35:31.000]  Yeah, Namo, please ask.
[35:31.000 --> 35:34.000]  So I wasn't here last week.
[35:34.000 --> 35:36.000]  Yeah, that's fine.
[35:36.000 --> 35:37.000]  That's fine.
[35:37.000 --> 35:41.000]  So last week we discussed just about the identifying the problem.
[35:41.000 --> 35:45.000]  So that you can, once you have a good understanding of what the problem is,
[35:45.000 --> 35:48.000]  then you can basically think about the possible solution.
[35:48.000 --> 35:52.000]  So we, it's, it's a failed initiative or attempt.
[35:52.000 --> 35:55.000]  If you don't spend too much time in understanding the problem, that was,
[35:55.000 --> 35:58.000]  that is what we emphasize upon last week.
[35:58.000 --> 36:02.000]  So since we, we have started the working on the IA.
[36:02.000 --> 36:05.000]  The very first step is to think about the problems.
[36:05.000 --> 36:08.000]  Let me took a few examples last week.
[36:08.000 --> 36:13.000]  To look at the problem from many different.
[36:13.000 --> 36:18.000]  You know, from many different angles, because every angle could be useful.
[36:18.000 --> 36:22.000]  So if you don't understand the problem properly, then probably you may end up making a solution,
[36:22.000 --> 36:26.000]  which may not completely meet customers requirements.
[36:26.000 --> 36:29.000]  And if that is the case, then they will come back to you saying that,
[36:29.000 --> 36:32.000]  oh, you made a software, but it's not doing this, that, this, that.
[36:32.000 --> 36:36.000]  The amount of time in the beginning and listing down what all features you want to have in the application.
[36:36.000 --> 36:45.000]  And taking approval from the client is always beneficial.
[36:45.000 --> 36:48.000]  All right, so yeah, Martin has shared that file also.
[36:48.000 --> 36:53.000]  So, man, we could you please now recall what was discussed within your group,
[36:53.000 --> 36:58.000]  with regard to this particular problem.
[36:58.000 --> 37:03.000]  Like if this is a problem like students often struggle to manage multiple assignments,
[37:03.000 --> 37:06.000]  leading to miss deadlines and disorganization.
[37:06.000 --> 37:08.000]  So this is a problem statement.
[37:08.000 --> 37:14.000]  A program that helps prioritize and schedule task based on urgency and due dates can improve the time management.
[37:14.000 --> 37:16.000]  So let's have a quick open discussion.
[37:16.000 --> 37:20.000]  Feel free to take part in it, right, whether you were part of group four or not.
[37:20.000 --> 37:25.000]  What factors would you consider when you are developing a solution for this?
[37:25.000 --> 37:30.000]  What are the primary factors that you would look at in order to create a solution,
[37:30.000 --> 37:36.000]  which will guide the students with the time management for the upcoming assignments?
[37:36.000 --> 37:43.000]  Tell me once we can take one factor, so let's rotate from one another, one to another.
[37:43.000 --> 37:48.000]  What's the most important thing that you will take into account while developing this solution?
[37:48.000 --> 37:53.000]  Being able to see like the when the task is to you.
[37:53.000 --> 37:57.000]  So the very first thing is that every assignment comes with a deadline.
[37:57.000 --> 38:05.000]  So you would be mindful about the task ID, task name and what is the deadline for that, right?
[38:05.000 --> 38:06.000]  For perfect.
[38:06.000 --> 38:09.000]  What other things that you will take into account?
[38:09.000 --> 38:11.000]  Priority of tasks.
[38:11.000 --> 38:12.000]  Okay, very, very good.
[38:12.000 --> 38:14.000]  The priority of task.
[38:14.000 --> 38:21.000]  Like for example, which task is kind of in terms of priority, can we say that this task is optional?
[38:21.000 --> 38:23.000]  And this task is mandatory.
[38:23.000 --> 38:27.000]  Will that be part of being priority?
[38:27.000 --> 38:33.000]  I think all tests should be mandatory, but I have priorities.
[38:33.000 --> 38:35.000]  Fine, all task has to be mandatory.
[38:35.000 --> 38:37.000]  Fine, so how would you define priority?
[38:37.000 --> 38:39.000]  How will you set the priority level?
[38:39.000 --> 38:42.000]  Let's say you have three tasks coming up on 20th of November.
[38:42.000 --> 38:44.000]  The deadline is 28th of November.
[38:44.000 --> 38:50.000]  Which task would you consider more prioritized over the others?
[38:50.000 --> 38:56.000]  One factor in my case, do you think the earliest has the most priority?
[38:56.000 --> 39:02.000]  No, so every task is due on 28th November, all three tasks.
[39:02.000 --> 39:04.000]  So how will you prioritize?
[39:04.000 --> 39:09.000]  Because if you set the deadline for each task, system will automatically set the priority.
[39:09.000 --> 39:12.000]  You can generate a report in the ascending order of dates.
[39:12.000 --> 39:15.000]  So you don't have to separately say what is the priority, right?
[39:15.000 --> 39:17.000]  That will be automatically done by the computer.
[39:18.000 --> 39:22.000]  But if you have tasks coming up on the same day, how will you set the priority?
[39:22.000 --> 39:24.000]  Okay, Sarah.
[39:24.000 --> 39:28.000]  Could say if it was a formative or a summative?
[39:28.000 --> 39:29.000]  Perfect.
[39:29.000 --> 39:34.000]  So based on the formative and summative, you may set that you need to spend more time on.
[39:34.000 --> 39:37.000]  The system will prompt that, okay, you have a math.
[39:37.000 --> 39:40.000]  AI summative coming up on 28th November.
[39:40.000 --> 39:43.000]  And on the same day, you also have a psychology of formative assessment,
[39:43.000 --> 39:46.000]  which will be a class quiz, right?
[39:46.000 --> 39:49.000]  So probably your system will say that, okay,
[39:49.000 --> 39:53.000]  you should be spending more time on preparing yourself for the math,
[39:53.000 --> 39:57.000]  AI summative test as compared to the quiz, right?
[39:57.000 --> 40:01.000]  Because that score will be counted towards your grade,
[40:01.000 --> 40:04.000]  which may contribute to the predicted grades, right?
[40:04.000 --> 40:06.000]  Okay, so you will set the priority.
[40:06.000 --> 40:10.000]  What other factors that you will take into account while setting up the priority list
[40:10.000 --> 40:13.000]  or not priority in general with regard to solving this problem?
[40:13.000 --> 40:15.000]  So priority is one timeline is one.
[40:15.000 --> 40:16.000]  What else?
[40:16.000 --> 40:20.000]  Priority secret also in comp and compass,
[40:20.000 --> 40:24.000]  HL subjects, the core subjects for a student,
[40:24.000 --> 40:29.000]  because these are the ones that they want to focus upon.
[40:29.000 --> 40:32.000]  So it's higher priority.
[40:32.000 --> 40:35.000]  So do you mean to, okay, so you say that,
[40:35.000 --> 40:38.000]  if it is a HL specific assignment,
[40:38.000 --> 40:41.000]  you will give more priority as compared to SL.
[40:41.000 --> 40:43.000]  Is that what you said?
[40:43.000 --> 40:49.000]  If the student selects a particular subject for themselves,
[40:49.000 --> 40:53.000]  to be that he wants to concentrate upon.
[40:53.000 --> 41:01.000]  So these subjects are usually have higher priority for students.
[41:01.000 --> 41:05.000]  Okay, so can we say that a student who is struggling in some subject?
[41:05.000 --> 41:08.000]  They will set that to be on the higher priority,
[41:08.000 --> 41:13.000]  because even though the deadline is same for all other subjects or all other assignments,
[41:13.000 --> 41:16.000]  but they need to spend more time on the subject where they are struggling.
[41:16.000 --> 41:18.000]  So they will put that on the higher priority, right?
[41:18.000 --> 41:21.000]  Irrespective of whether it is SL or HL.
[41:21.000 --> 41:25.000]  Because they may think that, okay, I love my English language and literature course.
[41:25.000 --> 41:26.000]  I can do that in one day.
[41:26.000 --> 41:29.000]  So let it be pushed for a later date.
[41:29.000 --> 41:33.000]  I can, even if I start on 18th, I can submit it on 20th.
[41:33.000 --> 41:37.000]  But for math, HL, I need more time because I need to learn and then I have to prepare.
